Title,Link,Date,Text
SUPER BOWL GOES ORGANIC,https://vegnews.com/2012/2/super-bowl-goes-organic,"FEBRUARY 4, 2012","For the first time in Super Bowl history, this year’s game will offer organic concessions, with a portion of all proceeds going to family farms around the country. Today, fans at Indianapolis’ Lucas Oil Stadium can enjoy three types of Homegrown Concessions’ organic, locally sourced chili—including a vegetarian option— provided by Farm Aid, a nonprofit organization that promotes family-farm agriculture, and sports-concession provider Centerplate. Musician and Farm Aid co-founder John Mellencamp says, “Farm Aid is introducing football fans to family farmers by serving Homegrown Chili at the Super Bowl. It’s good food from family farms, including some from right here in Indiana.” "
NYEE MOSES TO HOST VEG SHOW,https://vegnews.com/2012/2/nyee-moses-to-host-veg-show,"FEBRUARY 3, 2012","Multimedia food website Stitches ‘N Dishes announced Tuesday that it is developing a new vegetarian/vegan-themed web show with Billboard recording artist Nyee Moses. Moses, a vegetarian of 15 years, will be hosting the series, which will focus on veg food trends in Los Angeles and visit food trucks and carts in and around the Southern California city. The webisodes are currently being filmed and are scheduled to premiere on Stitches ‘N Dishes’ YouTube channel in coming weeks. SND hopes that the new show will help to raise awareness about the vegetarian lifesytle and connect with a veg audience. "
HORMEL TO STOP CRATE USAGE,https://vegnews.com/2012/2/hormel-to-stop-crate-usage,"FEBRUARY 2, 2012","Fortune 500 meat producer Hormel Foods announced this week that it will be phasing out the use of gestation crates at all of its facilities by 2017.  Hormel is best known as the producer of SPAM, but also produces brand names such as Dinty Moore, Stagg, Jennie-O, and more, and has 54,000 breeding pigs in total. The announcement was made just six weeks after Smithfield Foods, the world’s largest pork producer, made the same pledge, and just days after Humane Society of the United States released undercover video footage of pigs suffering in gestation crates at the facilities of Seaboard Foods, the nation’s third-largest pork producer. "
SCIENTISTS SLAM SUGAR,https://vegnews.com/2012/2/scientists-slam-sugar,"FEBRUARY 2, 2012","A team of scientists from the University of California, San Francisco argues in a new paper that sugar is primarily to blame for widespread instances of chronic illness around the world. The report, published in international science journal Nature, likens sugar to addictive, harmful substances such as alcohol and tobacco, and says that excessive consumption of sugar alters the body’s biochemistry, leaving people susceptible to a wide range of life-threatening conditions. To intervene in what they view as a public health crisis, the UCSF scientists advocate for taxes on sugar-laden products, and for drastic legislation that would limit children’s access to highly sweetened beverages and foods. "
FUNDRAISER FOR VEGAN TV SHOW,https://vegnews.com/2012/2/fundraiser-for-vegan-tv-show,"FEBRUARY 1, 2012","Video production company Delicious TV is hoping to make its vegan cooking show project a reality with the help of contributions from fans and interested parties. The show, titled Vegan Mashup, will feature recipes and tips for plant-based living from hosts Terry Hope Romero, co-author of best-selling vegan cookbooks such as Veganomicon and Vegan Cupcakes Take Over the World; Toni Fiore, host of Delicious TV’s “Totally Vegetarian” series; and Miyoko Schinner, author of three cookbooks who has been featured by NPR, The New York Post, and more. Only two days remain to donate to the fundraising campaign, which has a goal of $40,000 and is hosted by Indiegogo. "
UK SANCTUARY THREATENED,https://vegnews.com/2012/2/uk-sanctuary-threatened,"FEBRUARY 1, 2012","British actress Joanna Lumley, best known for starring in cult-comedy Absolutely Fabulous, has joined a national campaign to save the oldest farm sanctuary in Britain. The Farm Animal Sanctuary is facing eviction after 14 years, leaving the fate of the 635 animals who currently reside there unknown. Fearing the possibility of euthanasia and the adverse effects displacement could have on the animals, Lumley, a longtime patron of the sanctuary, states, “This is a body blow that has left us all reeling … I appeal to the good nature of the owner of the farm to show compassion and reverse the decision to evict [founder Janet Taylor], her loyal workers, and the animals they care for with such devotion.” "
PETITION AGAINST MONSANTO,https://vegnews.com/2012/2/petition-against-monsanto,"FEBRUARY 1, 2012","A widely circulated petition is urging President Obama to cut ties between the Food and Drug Administration and agricultural giant Monsanto, citing scientific studies that link Monsanto’s genetically modified foods to cancer and chronic illness. The petition, which has already gathered more than 181,000 signatures, coincides with a recent class-action lawsuit filed on behalf of Nitro, WV residents, who claim the company’s Nitro chemical plant exposed the town to carcinogenic toxins—including chemicals found in defoliate Agent Orange—from 1949 until 1971. The plaintiffs are asking Monsanto to monitor the health of each individual named in the suit, a request that will cost the company millions. "
VEGAN VALENTINES,https://vegnews.com/2012/1/vegan-valentines,"JANUARY 31, 2012","The season of smooching is upon us. Whether we like it or not, Valentine’s Day is our yearly occassion to celebrate love. Savvy singles, happy couples, and those who fall somewhere along the middle of the spectrum can all appreciate whatever it is we love in life. A caring, considerate partner brightens any day, but so does loving a cruelty-free lifestyle, rescuing a companion animal, or treating yourself as well as humanly possible. Here are a few ideas to infuse your life with love—romantics rejoice! Why Do You Build Me Up, Buttercup?
On Valentine’s Day, nobody wants to be let down, nor is anyone out there really hoping to be messed around. Worst of all? Not calling is a pretty damaging diss on this ultra-sweet holiday, but even worse is gifting your beloved with buttercups (or, more likely, roses) that are damaging to the environment and to the farmers who grow them. Check out these handy tips for sourcing Eco-Friendly Flowers to ensure that your buds aren’t duds (environmentally speaking). The Pick-Up Artist
Pick-up lines can range from come-hither whispers that set your toes atingle to downright cheesy come-ons that get you absolutely nowhere. Trying to determine which one of these two options your line exemplifies can be harder than itemizing your taxes while blindfolded. Our favorite trick to using pick up lines is: use sparingly, and use only with your friends. That’s right, picking up your friends is always a much better time than trying to actually talk to someone intimidatingly attractive. Would you rather have an evening of uproarious laughter, or an evening of mortification? We’ll take the former, please! Of course, veg-themed pick-up lines get extra points. Our Top 10 Veg-Themed Pick-Up Lines are sure to tickle your friends’ funny bones. Eat Your Heart Out
It should be clear by now that the way to any person’s heart is through the stomach. Cooking a dynamite dinner is a fantastic way to show your affections any time of year, and today’s no exception. Whether you’re hoping to win the heart of your latest crush, reignite the spark with your long-time steady, or just turn someone new on to veganism, a well-planned meal can do the trick. First, take a gander at these utterly appropriate Heart-Shaped Foods, and then try combining the shapely theme with these Vegan Aphrodisiacs. Are all the aprhodisiacs food? Yes. Do we recommend eating them all at once? No. Or if you do, at least make sure to have a mint on hand! Animal Amour
Obviously, we’re suckers for all kinds of cute critters. Aside from the obvious step of leaving animals off your Valentine’s Day dinner plate, sharing your love with a furry friend is an excellent way to soak in the spirit of the sappy season. From showering your pampered pooch with organic dog treats, to enjoying the stories of animals who’ve made it safely to sanctuaries all around the country, take some time today to remember the special place in your life that non-human animals hold. Me, Myself, and I
Finally, there’s one person who needs special attention today, no matter what kind of relationship you are (or aren’t!) in: you. Treating ourselves like loved ones can be difficult in the midst of busy schedules and hectic lives. But taking the time to really care for ourselves sets us up for success in all of our other endeavors. Can you be your most witty, charming, seductive self when you’re sleep deprived, hungry, or lethargic? Not likely. Whether it’s attending an extra yoga class, running a mile longer than usual, taking the time to meditate regularly, or simply indulging in a hot sauna followed by a luxurious massage at a veg-friendly spa, don’t forget the person who’s your valentine every year: you! "
FIRST LADY VISITS ELLEN SHOW,https://vegnews.com/2012/1/first-lady-visits-ellen-show,"JANUARY 31, 2012","First lady Michelle Obama is scheduled to appear on The Ellen DeGeneres Show this Thursday in support of “Let’s Move!,” her campaign to fight childhood obesity in the US. “Let’s Move!” aims to improve the health of children and adolescents by encouraging nutritious food choices, improving the quality of school lunches, and increasing physical activity within families, schools, and communities. A proponent of fresh, locally grown fruits and vegetables, Obama will also be in Los Angeles to speak on behalf of the California FreshWorks Fund, a project that aims to bring healthful options and fresh foods to food deserts and underserved communities. This spring, the first lady will be publishing her first book about gardening, titled American Grown: How the White House Kitchen Garden Inspires Families, Schools, and Communities. "
FLORIDA AG GAG BILL FAILS,https://vegnews.com/2012/1/florida-ag-gag-bill-fails,"JANUARY 31, 2012","Much like the proposed “ag-gag” bills that failed in 2011, Florida’s Senate Agriculture Committee and House Criminal Justice Subcommittee recently removed language from a proposed bill that would have criminalized taking both videos and photographs on factory farms without explicit permission. Florida’s animal producers have a history of violating humane-treatment standards, including a Miami-Dade slaughterhouse that was closed after the results of an undercover investigation released in November 2011 documented heinous animal cruelty and blood leaking from the plant. Workers’ rights advocates joined animal-protection advocates in praising the committee’s decision, as the removed language would have also made it illegal to document worker-safety violations, sexual harassment, or embezzlement.   "
BARKER AND PCRM FIGHT TESTING,https://vegnews.com/2012/1/barker-and-pcrm-fight-testing,"JANUARY 31, 2012","Former host of The Price Is Right Bob Barker has joined the Physicians Committee for Responsible Medicine in the fight to end the use of cats for medical experiments at the University of Virginia. In an open letter to the university’s president, Teresa A. Sullivan, Barker expresses his concern for the suffering of cats used in its pediatrics residency-training program, which requires students to force plastic tubes into the mouths and tracheas of the animals. Barker suggests transitioning to human-patient simulators, a move that 94 percent of pediatrics residency programs have already made. PCRM also offers a form letter that readers can use to submit their own concern to Sullivan. "
HSUS REVEALS PIG ABUSE,https://vegnews.com/2012/1/hsus-reveals-pig-abuse,"JANUARY 31, 2012","Today, The Humane Society of the United States filed complaints against two of the largest pork suppliers in the US following an undercover investigation that revealed the abuse of pigs. The animal-welfare organization infiltrated two Oklahoma facilities owned by Seaboard Foods and Prestage Farms—the nation’s third- and fifth-largest pork producers, respectively—and discovered lame and diseased pigs denied veterinary care, distressed and suffering pigs confined within tiny gestation crates, and piglets being castrated without anesthetic. HSUS filed the legal complaints with the US Securities and Exchange Commission and Federal Trade Commission, disputing Seaboard’s claim that it uses “the most humane practices throughout the animal’s life,” which could qualify as a false and misleading statement. "
TED DANSON GOES VEGAN,https://vegnews.com/2012/1/ted-danson-goes-vegan,"JANUARY 30, 2012","Actor Ted Danson has adopted a vegan diet in order to maintain a high energy level on the set of CSI: Crime Scene Investigation. According to contactmusic.com, Danson decided to go vegan after filming back-to-back episodes of the hit crime drama began to take a toll on his physical well-being. Roughly six months later, the TV star says he feels energized, remarking, “I feel good and I look fabulous.” This is not the first time Danson has limited animal products in his diet for health reasons. In 2007, the actor switched to a mostly vegan diet with occasional fish in an effort to lower his cholesterol. "
CHAINS STOP USE OF CHEMICAL BEEF,https://vegnews.com/2012/1/chains-stop-use-of-chemical-beef,"JANUARY 30, 2012","Several of the largest fast-food chains in the US—including McDonald’s, Taco Bell, and Burger King—have announced that they will no longer be using ammoniated beef, also known as “pink slime” in the industry. McDonald’s made the decision partially in response to a campaign by celebrity chef Jamie Oliver, who drew attention to the chain’s practices and denounced the controversial substance. “Pink slime” is made by adding ammonia and water to fatty beef trimmings in order to kill bacteria, and the subsequent product is then sold for use as hamburger filler or pet food. Food Safety News reports that at one point, ammoniated meat was used in roughly 70 percent of ground beef in the US. "
VEGAN JUNK FOOD COMPANY,https://vegnews.com/2012/1/vegan-junk-food-company,"JANUARY 30, 2012","Massachusetts-based snack-maker Katie Gill, better known as the Dirty Vegan, is looking to expand her line of vegan junk food, as well as its distribution. In a January 24 article in The Herald News, the vegan blogger-turned-entrepreneur describes how an unanticipated layoff led her to launch Dirty Vegan Foods, her homage to the retro sweets she enjoyed as a kid. Dirty Vegan Foods currently offers more than a dozen products, including a veganized version of Hostess Twinkies and Ding Dongs, but Gill plans on expanding the company’s inventory to include more cruelty-free creations. In addition to being available online and at Rhode Island Whole Foods, Dirty Vegan Foods will be available at the supermarket chain’s Boston-area locations this year. "
FACTORY FARM INSPECTORS CUT,https://vegnews.com/2012/1/factory-farm-inspectors-cut,"JANUARY 29, 2012","Tom Vislack, agriculture secretary of the US Department of Agriculture, has announced plans to cut the jobs of roughly 1,000 poultry factory-farm inspectors. Secretary Vislack suggests to move in order to save money, and predicts that $95 million can be cut from the agency’s budget for the first three years after implementation. Food and Water Watch, a consumer-rights organization, opposes the move, saying that it will give the poultry industry too much free reign. Recently, Mercy For Animals documented egregious animal cruelty at a Butterball Turkey facility in North Carolina. "
WOODY HARRELSON ESQUIRE FEATURE,https://vegnews.com/2012/1/woody-harrelson-esquire-feature,"JANUARY 29, 2012","In a new article in Esquire magazine, actor Woody Harrelson opens up about the experiences that led him to adopt a plant-based diet. During the interview, which takes place at a raw-food restaurant in Santa Monica, Harrelson shares a personal story about relinquishing his face of chronic acne after a girl on the New York subway told him that it might be caused by dairy, leading him to quit consuming it and see results in only three days. Additionally, the article reveals that the actor—who will appear in the film The Hunger Games in March—rarely consumes sugar or flour, and lives on an organic eco-farm in Maui. "
BRYANT TERRY ON (VEGAN) FOOD POLITICS,https://vegnews.com/2012/1/bryant-terry-on-vegan-food-politics,"JANUARY 29, 2012","We may only be a few weeks into the new year, but author and food activist Bryant Terry already has plenty on his literal and figurative plate. Between penning his third book The Inspired Vegan: Seasonal Ingredients, Creative Recipes, Mouthwatering Menus and hosting the new web series Urban Organic, Terry is using his culinary prowess and progressive knowledge of food politics to make changes on a scale from dinner plates to entire communities. We caught up with Terry the day after his book-launch party to hear more about his inspirations, goals, and theories about putting the passion back into vegan cuisine. VegNews: How do the recipes in The Inspired Vegan vary from those found in your previous books, Vegan Soul Kitchen and Grub?
Bryant Terry: All three of my books have the texture of autobiography—I share what’s happening in my own personal life, what’s happening to me politically, and what I’ve been consuming and enjoying. So, this book was written throughout the time that I was in the process of getting married, and my wife’s cooking deeply influences not only what I eat, but also my approach in general. My wife is Chinese-American, and she is adept at cooking a range of Asian foods from Chinese to Vietnamese to Thai. We have intentionally combined our cultural food styles, especially after having a daughter last April. We really want our daughter to embrace both her Chinese-American side and her African-American side, and the foods that come along with each culture. Another important aspect of this book is the structure around menus. One of the questions I frequently get when I’m speaking—especially from people who have transitioned from an omnivorous diet to a plant-based diet, to vegetarian or vegan—is how to put together well-balanced, delicious, interesting meals if meat isn’t at the center of the plate. I wanted to use this book as an opportunity to educate people about putting together sumptuous vegan meals that are interesting, exciting, and cutting-edge.  VN: Your daughter is going to have some awesome school lunches! Speaking of other aspects that make this book unique, what made you decide to include the song and book pairings with each dish?
BT: Our industrial food system has made food items into commodities, and I think that there’s a chasm that has come out wherein food is on one side and art, culture, and community are separate. When I consider my own upbringing, eating a meal wasn’t just a way to fuel yourself—it was about gathering at the table and enjoying the sensual pleasures of cooking. Meals were about harvesting the fresh food that my family was growing in their backyard garden and then collectively taking part in the preparation of it, gathering and talking and connecting. I come from a very musical family. My relatives were always playing the piano, singing, and having fun. When we finally sat down at the table, it was a very festive moment where we shared what was going on in our lives. I just don’t think I could ever write a book that didn’t include soundtracks and ideas, because those are the ways that food has been so central to my life. VN: You cite your grandparents as major influences for your interest in food. What activities or lessons did they share with you that shaped your passion for cooking and for food activism?
BT: One of the main lessons that I learned from my grandparents is that growing one’s own food is vital for self-determination. I think about the fact that my paternal grandfather used every bit of available space in his backyard to grow food. And he lived in the city! When I think about my food and cooking, I have the political objective to move people to be more active and create a more helpful, just, and sustainable food system, and I have my ideas about why I think it’s important that we all contribute to a compassionate food system and advocate for the rights of animals. VN: Is there a particular type of person or group that you envision as your audience or are hoping to reach specifically with your food?
BT: One of the things that I’ve been so excited about is that I have such a diverse audience. In terms of my activist self, I certainly understand that in this country we’re looking at a moment in history where we’re one of the sickest and one of the most obese nations. I also understand that there are certain communities that are deeply impacted by these issues, whether it’s poor white people living in rural Appalachia, or historically, marginalized African Americans living in urban centers. There are diverse groups of people living in food-insecure situations in the United States. I’m interested in illuminating the deep-seated issues that I know these communities are facing, because I know that often these issues are overlooked and these people feel voiceless. But then there’s another part of me that just loves making tasty vegan food, and knows that I have the power to continue to shift perceptions about vegan food and educate people about how you can have such a diverse and varied plant-based diet, such flavorful and delicious meals made just from vegan foods and not have to have any animal products. VN: Do you view The Inspired Vegan and your new web series Urban Organic as being related, or do you have separate or unique goals for each?
BT: I see them as being related, certainly, going back to part of my mission ensuring that I connect with the most impacted and the most food-insecure communities, that I can help spread knowledge about preparing wholesome, healthful meals. A lot of that is encouraging people to think about not only the existing cutting-edge solutions for bringing healthful food into cities, but also helping people understand that we don’t have to have advanced degrees, run some multimillion dollar NGO, or have a cookbook to be active in this role of helping communities around the US. That’s what I want to prove when I’m interacting with the Urban Organic communities. VN: Why do you think the belief persists that veganism is a privileged white person phenomenon?
BT: Most of the catalysts for my embracing vegetarianism—and then veganism—came from people of color. The first moment when I really thought about animal rights and a compassionate outlook was when I heard the song “Beef” by Boogie Down Productions and the rapper KRS-One. It was such a brilliant, articulate discussion of the horrors of factory farming and what animals have to endure. I also read this book by African-American activist and comedian Dick Gregory, Dick Gregory’s Natural Diet For Folks Who Eat: Cookin’ with Mother Nature, in which he talks about his journey of going from an omnivore to a vegetarian and a vegan and a fruitarian, and that was deeply impactful. I started connecting with this community of folks in Memphis who were Rastafarians, who were Seventh-Day Adventists, who were people in the Nation of Islam, who all had vegan diets. Before that, I had been in the straight-edge punk community, which was made of conscious white folks who were thinking about these issues, but I pretty much always hung around vegans of color. So many things that people of color do aren’t illuminated in the media or shown to the wider culture. If you never go into an African-American community or go into an Afro-Caribbean community, how would you even know that they have five or six vegan restaurants? One of my missions as well as a cookbook author is to ensure that African American and Afro-Caribbean cuisine isn’t “ghetto-ized” or approached in a very patronizing way. I want to let people know that they can have a healthful meal of African-American cuisine, beyond stereotypes, beyond this very narrow perception. VN: What direction or what light do you see food politics going into in the next 10 or 20 years?
BT: The direction I hope it continues in is toward solutions for food insecurity, for problems that people are facing in the US due to lack of access to healthful sustainable foods. All too often I’ll see well-meaning, altruistic, beautiful people who have a desire to work in and address food insecurity issues in communities that they don’t come from. There are some complicated race and class issues around that, but if one has the resources, the desire, and the access to information to be an ally for many of these impacted communities then I applaud that. However, if outside people aren’t working to fundamentally shift the power and ensure that the people living in those communities are in charge of contributing to the ideas of and guiding the solutions for the pervasive problems, I don’t think it will be as effective, and I don’t think it’s as authentic. It’s about helping communities build that power and be self-determined. "
NEW TX VEGAN FOOD TRUCK,https://vegnews.com/2012/1/new-tx-vegan-food-truck,"JANUARY 29, 2012","Earlier this month, Forth Worth, TX, became home to a new vegan food truck specializing in plant-based grab-and-go fare with a spicy twist. Zombie’s Food Truck, which began serving on January 7, offers gourmet sandwiches such as the Buffalo Joe, a Sloppy Joe-style sandwich with buffalo sauce, faux blue cheese, shredded carrots and grilled onions; the Hanoi Polloi, a take on bánh mì with marinated tofu, fresh cilantro, mint, and jalapeño; and Dirty South Tacos with chipotle barbecue tempeh and ranch slaw. Many of the truck’s offerings are also gluten-free in order to accommodate diners with allergies. Photo: Tomorrowville. "
PIGS’ BLOOD DUMPED,https://vegnews.com/2012/1/pigs-blood-dumped,"JANUARY 28, 2012","Columbia Packing Company, located in Dallas, TX was found to be dumping blood from slaughtered pigs directly from its processing plant into a nearby waterway. After being discovered by a hobbyist drone plane flyer, it was revealed that the plant had a pipe that diverted blood from the plant to Cedar Creek, which joins the Trinity River and continues directly to the Gulf of Mexico, through an area popular with kayakers. Owners of the nearly 100-year-old plant denied any malicious wrongdoing, and stated that they would “take any necessary action” to comply with the Texas Environmental Crimes Task Force.  "
DOGS SAVED FROM SLAUGHTER,https://vegnews.com/2012/1/dogs-saved-from-slaughter,"JANUARY 27, 2012","A vigilante blogger in China saved the lives of thousands of dogs by posting an online plea to have them saved, according to China Daily. After spotting more than 1,100 dogs tightly packed into stacked crates on a flatbed truck, a blogger with the Chongqing Small Animal Protection Association posted a call to action online to intercept the animals and save them from their fate at a butchery. Other similar stories have taken place in China this past year, as in April 2011, a truck was blockaded by activists who negotiated the release of hundreds of dogs, and last September, residents of Qianxi protested and successfully cancelled an ancient dog-slaughtering ritual for the first time in 600 years. "
NEW CAFETERIA STANDARDS,https://vegnews.com/2012/1/new-cafeteria-standards,"JANUARY 26, 2012","The US Department of Agriculture has introduced new national nutritional standards for school lunches, marking the first radical overhaul of school lunches in more than 15 years. The new guidelines, announced on Wednesday by first lady Michelle Obama and Agricultural Secretary Tom Vilsack, will require that cafeteria meals feature more whole grains, fruits, and vegetables, and less sodium and fat. Entire meals will have a limited calorie range—a first for USDA cafeteria guidelines—and all dairy products will be low- or non-fat. “When we send our kids to school, we expect that they won’t be eating the kind of fatty, salty, sugary foods that we try to keep them from eating at home,” Michelle Obama said in a statement. "
FORKS OVER KNIVES TALKS SEX,https://vegnews.com/2012/1/forks-over-knives-talks-sex,"JANUARY 26, 2012","The creators of the popular film Forks Over Knives, which has inspired celebrities like Russell Brand and Ozzy Osbourne to adopt a vegan diet, have created a new short film lauding the positive impact that a plant-based diet can have on one’s sex life. Prominent health and nutrition experts—including Caldwell Esselstyn and Kathy Freston—appear in the video, explaining how heart health and vascular function are deeply intertwined with sexual function and enjoyment. Animal products such as meat and cheese can clog arteries, leading to decreased blood flow to all areas of the body—including the ones used in the bedroom. “Vegan is the new Viagra,” Freston declares in the short film. "
WASHINGTON POST’S VEGAN CHAT,https://vegnews.com/2012/1/washington-posts-vegan-chat,"JANUARY 26, 2012","Yesterday, Compassion Over Killing’s Executive Director Erica Meier offered Washington Post readers vegan-dining advice as one of the newspaper’s guest Going Out Gurus. During a live chat, Meier shared her favorite Washington, DC restaurants and provided answers to reader questions about topics such as vegan brunch and whether fish feel pain. Meier also gave details about the COK co-sponsored event DC Meat-Free Week, which is scheduled to take place the week of February 6. Meier says, “This year is going to be incredibly fun! Meat-Free Week is packed with special events and menus including a barbecue kick-off party at Sticky Fingers Sweets & Eats, Food Truck Day, H Street Goes Veg, a free vegan cooking class and a #twEATup.” Photo credit: Washington City Paper "
ANIMAL DRUG CONTROVERSY,https://vegnews.com/2012/1/animal-drug-controversy,"JANUARY 25, 2012","Controversial livestock drug ractopamine hydrochloride is at the center of an international trade dispute, MSNBC reports. The drug is administered to an estimated 60 to 80 percent of pigs raised in the US, as well as other livestock, in order to reduce the animals’ fat content and increase their growth. While the Food and Drug Administration has deemed ractopamine safe for human consumption at low levels, the drug has sickened or killed more pigs than any other livestock drug, leading to international concern over its health implications. Currently, key markets such as the European Union, China, and Taiwan have all banned the use of ractopamine and, as a result, are rejecting some US meat exports. The Obama administration has declared resolving the dispute a top agricultural priority, trade officials say. "
FOODS TARGET FLEXITARIANS,https://vegnews.com/2012/1/foods-target-flexitarians,"JANUARY 25, 2012","According to The Wall Street Journal, meat-substitute companies such as Yves, Gardein, and Lightlife Foods have all developed campaigns designed to target flexitarians and other veg-curious meat-eaters. By modifying their products to look and taste more realistic and revising sales strategies, mock-meat companies hope to attract larger number of consumers who, whether for health or ethical reasons, are looking for alternative sources of protein. According to the article, the number of US food products labeled as “meatless” or “meat-free” grew 21 percent from 2009 to 2011, with sales of such products rising 10 percent since 2008. "
VEGAN COMIC HOSTS NEW SHOW,https://vegnews.com/2012/1/vegan-comic-hosts-new-show,"JANUARY 25, 2012","Vegan comedian David Steinberg, best known for his stand-up routines on Johnny Carson’s Tonight Show and direction of TV shows such as Seinfeld and Friends, will be the host of the new series Inside Comedy, which debuts on Showtime today. In addition to being one of the producers of the series, Steinberg will be on-air, interviewing and conversing with comedy legends such as Jerry Seinfeld, Chris Rock, Billy Crystal, Larry David, and more. Steinberg and his wife have been vegan for nine years, a lifestyle which the funnyman tells Mother Nature Network “makes a difference in every way.” "
HEN WELFARE BILL IN CONGRESS,https://vegnews.com/2012/1/hen-welfare-bill-in-congress,"JANUARY 24, 2012","The Humane Society of the United States has joined forces with United Egg Producers, a group that accounts for almost 87 percent of domestic egg companies, to push for the passage of a new bill that will set national standards for hen welfare—the Egg Products Inspection Act Amendments of 2012. Requirements in the bill include the gradual abolition of battery cages, enriched environments for hens that allow them to engage in natural behaviors, labeling of cartons to provide transparency about the welfare standards of each company, and more. While HSUS supports the bill because of its increased concern for the comfort and safety of hens, the UEP also sides with it because it will resolve state-by-state inconsistencies in policy that creates conflict in the industry’s commerce. "
CHASTAIN GETS OSCAR NOD,https://vegnews.com/2012/1/chastain-gets-oscar-nod,"JANUARY 24, 2012","Actress and longtime vegan Jessica Chastain has earned her first Oscar nomination for playing Celia Foote in 2011’s The Help, a film about white women and their black maids in 1960s Mississippi. For her role as the curvy and clueless Celia Foote, Chastain transformed her willowy frame by drinking melted tubs of soy ice cream, a process she likened to “a form of torture” in a 2011 interview. Though she did have to gain 15 pounds, Chastain didn’t have to compromise her cruelty-free diet for the part: for scenes that required Celia to eat fried chicken, caterers created a vegan version of the Southern staple using Tofurky and veggie dogs. "
CBS AIRS VEGAN SEGMENT,https://vegnews.com/2012/1/cbs-airs-vegan-segment,"JANUARY 24, 2012","Following in the footsteps of other mainstream media outlets such as NBC and FOX, CBS News recently broadcasted a news segment weighing the pros and cons of a plant-based diet. In the segment, CBS News medical contributor Holly Phillips presented an overview of the vegan diet, then hailed its health benefits, stating that many vegans show lower levels of life-threatening diseases such as diabetes and some cancers. Though she warned that improper eating habits could lead to dangerous vitamin deficiencies, Phillips noted that anyone can “successfully delete the meat” by integrating leafy green vegetables, beans, nuts, and soy products into their diets. "
COURT REJECTS DOWNER LAW,https://vegnews.com/2012/1/court-rejects-downer-law,"JANUARY 23, 2012","Yesterday, the Supreme Court blocked a Humane Society of the United States-sponsored law that would require the euthanasia of downed livestock, preventing them from entering the food supply. The law won the vote in 2009, but cannot go into effect due to its violation of federal regulations instituted by Congress that control slaughterhouse policy. California sought stronger laws concerning sick and immobile livestock following an HSUS undercover investigation in 2008 that showed workers abusing and dragging downed cows at a Southern California facility. The National Meat Association considers the Supreme Court’s ruling a victory, while animal-welfare activists are dismayed by the decision. "
VEGAN EATERY OPENS IN CA,https://vegnews.com/2012/1/vegan-eatery-opens-in-ca,"JANUARY 23, 2012","Raw vegan entrepreneur Lydia Kindheart, founder of the internationally distributed raw product line Lydia’s Organics, has opened a second location of her café Lydia’s Kitchen in Petaluma, CA. The restaurant is part of Kindheart’s latest venture, a yoga studio and community space called the Sunflower Center. Just like the original Lydia’s Kitchen located 25 miles away in Fairfax, the Sunflower Center café features raw and cooked vegan meals, including sweet or savory crêpes, a cashew-cheese quesadilla, and a raw collard wrap. In addition to housing Lydia’s Kitchen, the Sunflower Center will offer a raw vegan catering menu and business-lunch program. "
MRAZ BLOGS ABOUT VEGANISM,https://vegnews.com/2012/1/mraz-blogs-about-veganism,"JANUARY 23, 2012","Singer-songwriter Jason Mraz has taken to his blog to advocate the benefits of a plant-based diet. In a post from January 19, Mraz shares that he has been thriving on what he calls a “pretty strict plant-based diet” for the past four months, and has noticed significant changes in his physical and mental health. Mraz says, “[I’m] feeling stronger, fitter, healthier and more productive. I ride longer distances on my bike, can do more pull-ups than ever, and my brain seems to have a larger capacity for new projects, problem solving, songwriting, and fielding random questions.” For those looking for an introduction to plant-based eating, the star recommends the film Forks Over Knives, which he calls a “life changer.” "
